3964
(420,-8.265701,41.20393)
(421,-8.306163,41.195069)
(422,-8.266323,41.195904)
(423,-8.280781,41.202726)
(424,-8.282535,41.206486)
(425,-8.272804,41.195789)
(426,-8.274563,41.210224)
(427,-8.299755,41.193006)
(428,-8.280682,41.214447)
(429,-8.279043,41.194469)
(430,-8.310607,41.202747)
(431,-8.260201,41.212125)
(432,-8.256265,41.207841)
(433,-8.311582,41.195329)
(434,-8.26312,41.216606)
(435,-8.286821,41.207137)
(436,-8.266386,41.20675)
(437,-8.297506,41.194145)
(438,-8.278754,41.203987)
(439,-8.277647,41.196801)
(440,-8.265959,41.20588)
(441,-8.268821,41.188842)
(442,-8.28484,41.213539)
(443,-8.27335,41.199979)
(444,-8.276438,41.205621)
(445,-8.289808,41.206977)
(446,-8.27399,41.189468)
(447,-8.276486,41.205319)
(448,-8.28862,41.195835)
(449,-8.295271,41.197249)
(450,-8.282212,41.207587)
(451,-8.284468,41.210246)
(452,-8.287522,41.215289)
(453,-8.260568,41.212245)
(454,-8.311433,41.19547)
(455,-8.292118,41.198291)
(456,-8.261775,41.19678)
(457,-8.273157,41.199948)
(458,-8.259424,41.195352)
(459,-8.271545,41.219595)
(460,-8.264685,41.190911)
(461,-8.279222,41.223819)
(462,-8.261987,41.198502)
(463,-8.316377,41.202146)
(464,-8.27713,41.210497)
(465,-8.280788,41.211532)
(466,-8.281867,41.211697)
(467,-8.283978,41.207225)
(468,-8.273437,41.193004)
(469,-8.268507,41.191392)
(470,-8.277107,41.207971)
(471,-8.269622,41.20011)
(472,-8.270978,41.204582)
(473,-8.27778,41.207841)
(474,-8.260238,41.233108)
(475,-8.286977,41.203825)
(476,-8.291029,41.199352)
(477,-8.289691,41.207385)
(478,-8.291255,41.200221)
(479,-8.273574,41.205844)
(480,-8.286844,41.195435)
(481,-8.263403,41.197579)
(482,-8.274367,41.209629)
(483,-8.271313,41.199619)
(484,-8.274658,41.221779)
(485,-8.265712,41.20165)
(486,-8.276861,41.212196)
(487,-8.264505,41.2053)
(488,-8.281641,41.208069)
(489,-8.291031,41.199113)
(490,-8.291948,41.193962)
(491,-8.2895,41.206788)
(492,-8.29453,41.201416)
(493,-8.285277,41.19964)
(494,-8.288658,41.206719)
(495,-8.283397,41.214549)
(496,-8.292722,41.208082)
(497,-8.282464,41.213051)
(498,-8.267555,41.211615)
(499,-8.293501,41.193719)
(500,-8.281041,41.202726)
(501,-8.277205,41.221367)
(502,-8.280516,41.195529)
(503,-8.266139,41.212194)
(504,-8.257384,41.211288)
(505,-8.313349,41.202348)
(506,-8.267452,41.196502)
(507,-8.272313,41.20045)
(508,-8.260435,41.197979)
(509,-8.282639,41.206422)
(510,-8.268348,41.200317)
(511,-8.265941,41.208032)
(512,-8.265146,41.194311)
(513,-8.296019,41.198311)
(514,-8.273777,41.200091)
(515,-8.268564,41.193436)
(516,-8.282669,41.206656)
(517,-8.259251,41.202009)
(518,-8.277397,41.210196)
(519,-8.266885,41.186513)
(520,-8.284599,41.212252)
(521,-8.290476,41.20069)
(522,-8.261233,41.196258)
(523,-8.298804,41.194333)
(524,-8.264351,41.208974)
(525,-8.286266,41.195703)
(526,-8.265409,41.191085)
(527,-8.266272,41.21242)
(528,-8.272261,41.206878)
(529,-8.290708,41.199267)
(530,-8.270647,41.213011)
(531,-8.275593,41.193559)
(532,-8.274669,41.227334)
(533,-8.314367,41.202291)
(534,-8.310249,41.195433)
(535,-8.279826,41.19511)
(536,-8.294555,41.201654)
(537,-8.306371,41.195158)
(538,-8.271104,41.196411)
(539,-8.27433,41.19349)
(540,-8.259176,41.213279)
(541,-8.265112,41.185346)
(542,-8.265659,41.204936)
(543,-8.263421,41.216554)
(544,-8.311404,41.195016)
(545,-8.260189,41.206747)
(546,-8.294487,41.195842)
(547,-8.26252,41.216826)
(548,-8.274338,41.193539)
(549,-8.274099,41.193905)
(550,-8.283672,41.207835)
(551,-8.2832,41.212188)
(552,-8.289321,41.19627)
(553,-8.29371,41.203049)
(554,-8.282414,41.207451)
(555,-8.283646,41.207155)
(556,-8.286855,41.195058)
(557,-8.273329,41.193906)
(558,-8.268586,41.192537)
(559,-8.274745,41.192957)
(560,-8.307471,41.197513)
(561,-8.304577,41.202166)
(562,-8.266757,41.204735)
(563,-8.259052,41.212609)
(564,-8.277265,41.207925)
(565,-8.25871,41.225455)
(566,-8.272592,41.216002)
(567,-8.277014,41.208932)
(568,-8.284403,41.211716)
(569,-8.266327,41.18621)
(570,-8.282787,41.214314)
(571,-8.27339,41.193668)
(572,-8.282997,41.207158)
(573,-8.281528,41.212392)
(574,-8.292428,41.19373)
(575,-8.287232,41.207076)
(576,-8.255751,41.207363)
(577,-8.26144,41.196558)
(578,-8.267123,41.202826)
(579,-8.287746,41.21525)
(580,-8.297858,41.191136)
(581,-8.311487,41.195447)
(582,-8.264693,41.19151)
(583,-8.265114,41.192599)
(584,-8.272855,41.192911)
(585,-8.268277,41.191498)
(586,-8.29869,41.192645)
(587,-8.290128,41.202603)
(588,-8.261828,41.205032)
(589,-8.273937,41.215162)
(590,-8.25898,41.207726)
(591,-8.267963,41.196035)
(592,-8.289763,41.207584)
(593,-8.263537,41.203379)
(594,-8.311273,41.196202)
(595,-8.289846,41.195864)
(596,-8.282687,41.198653)
(597,-8.258785,41.194669)
(598,-8.286627,41.195417)
(599,-8.265208,41.194392)
(600,-8.274246,41.192517)
(601,-8.310988,41.197291)
(602,-8.270763,41.204732)
(603,-8.310277,41.196274)
(604,-8.256176,41.207812)
(605,-8.272753,41.217984)
(606,-8.279116,41.211071)
(607,-8.281563,41.208055)
(608,-8.2661,41.206896)
(609,-8.264623,41.191775)
(610,-8.29356,41.202949)
(611,-8.277225,41.225692)
(612,-8.29712,41.196923)
(613,-8.282037,41.205636)
(614,-8.267691,41.223234)
(615,-8.264717,41.207001)
(616,-8.27053,41.210932)
(617,-8.260643,41.199749)
(618,-8.279303,41.196833)
(619,-8.260177,41.195125)
(620,-8.274577,41.197924)
(621,-8.26807,41.210919)
(622,-8.285118,41.209887)
(623,-8.274876,41.193252)
(624,-8.288078,41.203207)
(625,-8.27498,41.193938)
(626,-8.277563,41.207423)
(627,-8.258476,41.211796)
(628,-8.316618,41.202354)
(629,-8.264113,41.215155)
(630,-8.287577,41.215365)
(631,-8.294617,41.201839)
(632,-8.310331,41.19813)
(633,-8.28799,41.213491)
(634,-8.288818,41.195834)
(635,-8.275699,41.208768)
(636,-8.277603,41.204499)
(637,-8.288157,41.203142)
(638,-8.286508,41.200969)
(639,-8.270109,41.205575)
(640,-8.307662,41.196161)
(641,-8.255262,41.21051)
(642,-8.266786,41.222995)
(643,-8.266887,41.205222)
(644,-8.316351,41.202187)
(645,-8.298873,41.1935)
(646,-8.261316,41.199299)
(647,-8.282623,41.20641)
(648,-8.295034,41.196201)
